fen,move,score,outcome
rnb1k2r/5ppp/2p4n/pP6/4p3/1PP1P3/2KN1PPP/R1B2B1R b - - 0 15,c6b5,210,0.5
rnb1k2r/5ppp/7n/pp6/4p3/1PP1P3/2KN1PPP/R1B2B1R w - - 0 15,d2e4,110,0.5
rnb1k2r/5ppp/7n/pp6/4N3/1PP1P3/2K2PPP/R1B2B1R b - - 0 16,c8d7,210,0.5
rn2k2r/3b1ppp/7n/pp6/4N3/1PP1P3/2K2PPP/R1B2B1R w - - 1 16,e4d6,110,0.5
rn2k2r/3b1ppp/3N3n/pp6/8/1PP1P3/2K2PPP/R1B2B1R b - - 2 17,e8e7,210,0.5
rn5r/3bkppp/3N3n/pp6/8/1PP1P3/2K2PPP/R1B2B1R w - - 3 17,d6b5,210,0.5
rn5r/3bkppp/7n/pN6/8/1PP1P3/2K2PPP/R1B2B1R b - - 0 18,h6g4,210,0.5
rn5r/3bkppp/8/pN6/6n1/1PP1P3/2K2PPP/R1B2B1R w - - 1 18,c1a3,110,0.5
rn5r/3bkppp/8/pN6/6n1/BPP1P3/2K2PPP/R4B1R b - - 2 19,e7f6,210,0.5
rn5r/3b1ppp/5k2/pN6/6n1/BPP1P3/2K2PPP/R4B1R w - - 3 19,c3c4,110,0.5
rn5r/3b1ppp/5k2/pN6/2P3n1/BP2P3/2K2PPP/R4B1R b - - 0 20,g4f2,210,0.5
rn5r/3b1ppp/5k2/pN6/2P5/BP2P3/2K2nPP/R4B1R w - - 0 20,h1g1,110,0.5
rn5r/3b1ppp/5k2/pN6/2P5/BP2P3/2K2nPP/R4BR1 b - - 1 21,d7f5,110,0.5
rn5r/5ppp/5k2/pN3b2/2P5/BP2P3/2K2nPP/R4BR1 w - - 2 21,c2c1,110,0.5
rn5r/5ppp/5k2/pN3b2/2P5/BP2P3/5nPP/R1K2BR1 b - - 3 22,f2d3,110,0.5
rn5r/5ppp/5k2/pN3b2/2P5/BP1nP3/6PP/R1K2BR1 w - - 4 22,f1d3,100,0.5
rn5r/5ppp/5k2/pN3b2/2P5/BP1BP3/6PP/R1K3R1 b - - 0 23,f5d3,200,0.5
rn5r/5ppp/5k2/pN6/2P5/BP1bP3/6PP/R1K3R1 w - - 0 23,c1d2,100,0.5
rn5r/5ppp/5k2/pN6/2P5/BP1bP3/3K2PP/R5R1 b - - 1 24,d3e4,200,0.5
rn5r/5ppp/5k2/pN6/2P1b3/BP2P3/3K2PP/R5R1 w - - 2 24,a3b2,100,0.5
rn5r/5ppp/5k2/pN6/2P1b3/1P2P3/1B1K2PP/R5R1 b - - 3 25,f6g5,200,0.5
rn5r/5ppp/8/pN4k1/2P1b3/1P2P3/1B1K2PP/R5R1 w - - 4 25,b2g7,100,0.5
rn5r/5pBp/8/pN4k1/2P1b3/1P2P3/3K2PP/R5R1 b - - 0 26,h8d8,300,0.5
rn1r4/5pBp/8/pN4k1/2P1b3/1P2P3/3K2PP/R5R1 w - - 1 26,g7d4,100,0.5
rn1r4/5p1p/8/pN4k1/2PBb3/1P2P3/3K2PP/R5R1 b - - 2 27,a5a4,300,0.5
rn1r4/5p1p/8/1N4k1/p1PBb3/1P2P3/3K2PP/R5R1 w - - 0 27,d2c3,100,0.5
rn1r4/5p1p/8/1N4k1/p1PBb3/1PK1P3/6PP/R5R1 b - - 1 28,a4a3,300,0.5
rn1r4/5p1p/8/1N4k1/2PBb3/pPK1P3/6PP/R5R1 w - - 0 28,g2g3,200,0.5
rn1r4/5p1p/8/1N4k1/2PBb3/pPK1P1P1/7P/R5R1 b - - 0 29,a3a2,300,0.5
rn1r4/5p1p/8/1N4k1/2PBb3/1PK1P1P1/p6P/R5R1 w - - 0 29,h2h4,200,0.5
rn1r4/5p1p/8/1N4k1/2PBb2P/1PK1P1P1/p7/R5R1 b - h3 0 30,g5g4,300,0.5
rn1r4/5p1p/8/1N6/2PBb1kP/1PK1P1P1/p7/R5R1 w - - 1 30,b3b4,100,0.5
rn1r4/5p1p/8/1N6/1PPBb1kP/2K1P1P1/p7/R5R1 b - - 0 31,b8c6,200,0.5
r2r4/5p1p/2n5/1N6/1PPBb1kP/2K1P1P1/p7/R5R1 w - - 1 31,d4c5,100,0.5
r2r4/5p1p/2n5/1NB5/1PP1b1kP/2K1P1P1/p7/R5R1 b - - 2 32,d8d3,200,0.5
r7/5p1p/2n5/1NB5/1PP1b1kP/2KrP1P1/p7/R5R1 w - - 3 32,c3b2,100,0.5
r7/5p1p/2n5/1NB5/1PP1b1kP/3rP1P1/pK6/R5R1 b - - 4 33,c6e5,200,0.5
r7/5p1p/8/1NB1n3/1PP1b1kP/3rP1P1/pK6/R5R1 w - - 5 33,c5e7,100,0.5
r7/4Bp1p/8/1N2n3/1PP1b1kP/3rP1P1/pK6/R5R1 b - - 6 34,e5c4,100,0.5
r7/4Bp1p/8/1N6/1Pn1b1kP/3rP1P1/pK6/R5R1 w - - 0 34,b2c1,0,0.5
r7/4Bp1p/8/1N6/1Pn1b1kP/3rP1P1/p7/R1K3R1 b - - 1 35,c4e3,100,0.5
r7/4Bp1p/8/1N6/1P2b1kP/3rn1P1/p7/R1K3R1 w - - 0 35,e7c5,0,0.5
r7/5p1p/8/1NB5/1P2b1kP/3rn1P1/p7/R1K3R1 b - - 1 36,e4c6,90,0.5
r7/5p1p/2b5/1NB5/1P4kP/3rn1P1/p7/R1K3R1 w - - 2 36,c5e3,0,0.5
r7/5p1p/2b5/1N6/1P4kP/3rB1P1/p7/R1K3R1 b - - 0 37,c6b5,0,0.5
r7/5p1p/8/1b6/1P4kP/3rB1P1/p7/R1K3R1 w - - 0 37,e3d2,0,0.5
r7/5p1p/8/1b6/1P4kP/3r2P1/p2B4/R1K3R1 b - - 1 38,a8c8,0,0.5
2r5/5p1p/8/1b6/1P4kP/3r2P1/p2B4/R1K3R1 w - - 2 38,c1d1,0,0.5
2r5/5p1p/8/1b6/1P4kP/3r2P1/p2B4/R2K2R1 b - - 3 39,d3g3,0,0.5
2r5/5p1p/8/1b6/1P4kP/6r1/p2B4/R2K2R1 w - - 0 39,g1g3,0,0.5
2r5/5p1p/8/1b6/1P4kP/6R1/p2B4/R2K4 b - - 0 40,g4g3,0,0.5
2r5/5p1p/8/1b6/1P5P/6k1/p2B4/R2K4 w - - 0 40,d2e1,0,0.5
2r5/5p1p/8/1b6/1P5P/6k1/p7/R2KB3 b - - 1 41,g3g2,0,0.5
2r5/5p1p/8/1b6/1P5P/8/p5k1/R2KB3 w - - 2 41,a1a2,0,0.5
2r5/5p1p/8/1b6/1P5P/8/R5k1/3KB3 b - - 0 42,g2g1,0,0.5
2r5/5p1p/8/1b6/1P5P/8/R7/3KB1k1 w - - 1 42,h4h5,0,0.5
2r5/5p1p/8/1b5P/1P6/8/R7/3KB1k1 b - - 0 43,f7f6,0,0.5
2r5/7p/5p2/1b5P/1P6/8/R7/3KB1k1 w - - 0 43,h5h6,0,0.5
2r5/7p/5p1P/1b6/1P6/8/R7/3KB1k1 b - - 0 44,f6f5,0,0.5
2r5/7p/7P/1b3p2/1P6/8/R7/3KB1k1 w - - 0 44,e1d2,0,0.5
2r5/7p/7P/1b3p2/1P6/8/R2B4/3K2k1 b - - 1 45,b5d3,0,0.5
2r5/7p/7P/5p2/1P6/3b4/R2B4/3K2k1 w - - 2 45,d2c1,0,0.5
2r5/7p/7P/5p2/1P6/3b4/R7/2BK2k1 b - - 3 46,d3f1,0,0.5
2r5/7p/7P/5p2/1P6/8/R7/2BK1bk1 w - - 4 46,c1b2,0,0.5
2r5/7p/7P/5p2/1P6/8/RB6/3K1bk1 b - - 5 47,f5f4,0,0.5
2r5/7p/7P/8/1P3p2/8/RB6/3K1bk1 w - - 0 47,b2a1,0,0.5
2r5/7p/7P/8/1P3p2/8/R7/B2K1bk1 b - - 1 48,f4f3,0,0.5
2r5/7p/7P/8/1P6/5p2/R7/B2K1bk1 w - - 0 48,a1b2,0,0.5
2r5/7p/7P/8/1P6/5p2/RB6/3K1bk1 b - - 1 49,c8c6,0,0.5
8/7p/2r4P/8/1P6/5p2/RB6/3K1bk1 w - - 2 49,b2c1,0,0.5
8/7p/2r4P/8/1P6/5p2/R7/2BK1bk1 b - - 3 50,f1d3,0,0.5
8/7p/2r4P/8/1P6/3b1p2/R7/2BK2k1 w - - 4 50,c1d2,0,0.5
8/7p/2r4P/8/1P6/3b1p2/R2B4/3K2k1 b - - 5 51,g1h2,0,0.5
8/7p/2r4P/8/1P6/3b1p2/R2B3k/3K4 w - - 6 51,d2c1,0,0.5
8/7p/2r4P/8/1P6/3b1p2/R6k/2BK4 b - - 7 52,h2g1,0,0.5
8/7p/2r4P/8/1P6/3b1p2/R7/2BK2k1 w - - 8 52,c1d2,0,0.5
8/7p/2r4P/8/1P6/3b1p2/R2B4/3K2k1 b - - 9 53,g1h2,0,0.5
8/7p/2r4P/8/1P6/3b1p2/R2B3k/3K4 w - - 10 53,d2e1,0,0.5
8/7p/2r4P/8/1P6/3b1p2/R6k/3KB3 b - - 11 54,d3e2,-70,0.5
8/7p/2r4P/8/1P6/5p2/R3b2k/3KB3 w - - 12 54,d1d2,-100,0.5
8/7p/2r4P/8/1P6/5p2/R2Kb2k/4B3 b - - 13 55,c6h6,-100,0.5
8/7p/7r/8/1P6/5p2/R2Kb2k/4B3 w - - 0 55,e1f2,-100,0.5
8/7p/7r/8/1P6/5p2/R2KbB1k/8 b - - 1 56,h6d6,-100,0.5
8/7p/3r4/8/1P6/5p2/R2KbB1k/8 w - - 2 56,d2c1,-100,0.5
8/7p/3r4/8/1P6/5p2/R3bB1k/2K5 b - - 3 57,d6d1,-100,0.5
8/7p/8/8/1P6/5p2/R3bB1k/2Kr4 w - - 4 57,c1b2,-100,0.5
8/7p/8/8/1P6/5p2/RK2bB1k/3r4 b - - 5 58,h7h6,0,0.5
8/8/7p/8/1P6/5p2/RK2bB1k/3r4 w - - 0 58,f2e3,0,0.5
8/8/7p/8/1P6/4Bp2/RK2b2k/3r4 b - - 1 59,f3f2,0,0.5
8/8/7p/8/1P6/4B3/RK2bp1k/3r4 w - - 0 59,e3f2,0,0.5
8/8/7p/8/1P6/8/RK2bB1k/3r4 b - - 0 60,h6h5,0,0.5
8/8/8/7p/1P6/8/RK2bB1k/3r4 w - - 0 60,f2e3,0,0.5
8/8/8/7p/1P6/4B3/RK2b2k/3r4 b - - 1 61,h5h4,0,0.5
8/8/8/8/1P5p/4B3/RK2b2k/3r4 w - - 0 61,e3c1,0,0.5
8/8/8/8/1P5p/8/RK2b2k/2Br4 b - - 1 62,e2f3,0,0.5
8/8/8/8/1P5p/5b2/RK5k/2Br4 w - - 2 62,b4b5,0,0.5
8/8/8/1P6/7p/5b2/RK5k/2Br4 b - - 0 63,d1g1,0,0.5
8/8/8/1P6/7p/5b2/RK5k/2B3r1 w - - 1 63,b5b6,0,0.5
8/8/1P6/8/7p/5b2/RK5k/2B3r1 b - - 0 64,h4h3,0,0.5
8/8/1P6/8/8/5b1p/RK5k/2B3r1 w - - 0 64,c1d2,0,0.5
8/8/1P6/8/8/5b1p/RK1B3k/6r1 b - - 1 65,g1d1,0,0.5
8/8/1P6/8/8/5b1p/RK1B3k/3r4 w - - 2 65,d2c1,0,0.5
8/8/1P6/8/8/5b1p/RK5k/2Br4 b - - 3 66,d1g1,0,0.5
8/8/1P6/8/8/5b1p/RK5k/2B3r1 w - - 4 66,c1d2,0,0.5
8/8/1P6/8/8/5b1p/RK1B3k/6r1 b - - 5 67,g1d1,0,0.5
8/8/1P6/8/8/5b1p/RK1B3k/3r4 w - - 6 67,d2c3,0,0.5
8/8/1P6/8/8/2B2b1p/RK5k/3r4 b - - 7 68,f3h1,0,0.5
8/8/1P6/8/8/2B4p/RK5k/3r3b w - - 8 68,c3b4,0,0.5
8/8/1P6/8/1B6/7p/RK5k/3r3b b - - 9 69,h1e4,0,0.5
8/8/1P6/8/1B2b3/7p/RK5k/3r4 w - - 10 69,b4a3,0,0.5
8/8/1P6/8/4b3/B6p/RK5k/3r4 b - - 11 70,h2g3,0,0.5
8/8/1P6/8/4b3/B5kp/RK6/3r4 w - - 12 70,a3b4,0,0.5
8/8/1P6/8/1B2b3/6kp/RK6/3r4 b - - 13 71,h3h2,0,0.5
8/8/1P6/8/1B2b3/6k1/RK5p/3r4 w - - 0 71,a2a1,0,0.5
8/8/1P6/8/1B2b3/6k1/1K5p/R2r4 b - - 1 72,d1a1,0,0.5
8/8/1P6/8/1B2b3/6k1/1K5p/r7 w - - 0 72,b4d6,-400,0.5
8/8/1P1B4/8/4b3/6k1/1K5p/r7 b - - 1 73,g3g2,-100,0.5
8/8/1P1B4/8/4b3/8/1K4kp/r7 w - - 2 73,d6h2,-730,0.5
8/8/1P6/8/4b3/8/1K4kB/r7 b - - 0 74,a1b1,-330,0.5
8/8/1P6/8/4b3/8/1K4kB/1r6 w - - 1 74,b2c3,-730,0.5
8/8/1P6/8/4b3/2K5/6kB/1r6 b - - 2 75,g2h2,-500,0.5
8/8/1P6/8/4b3/2K5/7k/1r6 w - - 0 75,c3d4,-730,0.5
8/8/1P6/8/3Kb3/8/7k/1r6 b - - 1 76,e4h1,-730,0.5
8/8/1P6/8/3K4/8/7k/1r5b w - - 2 76,d4c5,-830,0.5
8/8/1P6/2K5/8/8/7k/1r5b b - - 3 77,b1b2,-830,0.5
8/8/1P6/2K5/8/8/1r5k/7b w - - 4 77,c5d6,-730,0.5
8/8/1P1K4/8/8/8/1r5k/7b b - - 5 78,b2b6,-830,0.5
8/8/1r1K4/8/8/8/7k/7b w - - 0 78,d6c5,-830,0.5
8/8/1r6/2K5/8/8/7k/7b b - - 1 79,b6b1,-830,0.5
8/8/8/2K5/8/8/7k/1r5b w - - 2 79,c5c4,-830,0.5
8/8/8/8/2K5/8/7k/1r5b b - - 3 80,h1g2,-830,0.5
8/8/8/8/2K5/8/6bk/1r6 w - - 4 80,c4c3,-830,0.5
8/8/8/8/8/2K5/6bk/1r6 b - - 5 81,g2f1,-830,0.5
8/8/8/8/8/2K5/7k/1r3b2 w - - 6 81,c3c2,-830,0.5
8/8/8/8/8/8/2K4k/1r3b2 b - - 7 82,b1a1,-830,0.5
8/8/8/8/8/8/2K4k/r4b2 w - - 8 82,c2b2,-830,0.5
8/8/8/8/8/8/1K5k/r4b2 b - - 9 83,a1e1,-830,0.5
8/8/8/8/8/8/1K5k/4rb2 w - - 10 83,b2a2,-830,0.5
8/8/8/8/8/8/K6k/4rb2 b - - 11 84,f1e2,-830,0.5
8/8/8/8/8/8/K3b2k/4r3 w - - 12 84,a2b2,-830,0.5
8/8/8/8/8/8/1K2b2k/4r3 b - - 13 85,e2d1,-830,0.5
8/8/8/8/8/8/1K5k/3br3 w - - 14 85,b2a1,-830,0.5
8/8/8/8/8/8/7k/K2br3 b - - 15 86,d1c2,-830,0.5
8/8/8/8/8/8/2b4k/K3r3 w - - 16 86,a1a2,-830,0.5
8/8/8/8/8/8/K1b4k/4r3 b - - 17 87,c2b1,-830,0.5
8/8/8/8/8/8/K6k/1b2r3 w - - 18 87,a2a1,-830,0.5
8/8/8/8/8/8/7k/Kb2r3 b - - 19 88,b1c2,-830,0.5
8/8/8/8/8/8/2b4k/K3r3 w - - 20 88,a1a2,-830,0.5
8/8/8/8/8/8/K1b4k/4r3 b - - 21 89,c2b1,-830,0.5
8/8/8/8/8/8/K6k/1b2r3 w - - 22 89,a2a1,-830,0.5
8/8/8/8/8/8/7k/Kb2r3 b - - 23 90,b1d3,-830,0.5
8/8/8/8/8/3b4/7k/K3r3 w - - 24 90,a1a2,-830,0.5
8/8/8/8/8/3b4/K6k/4r3 b - - 25 91,e1f1,-830,0.5
8/8/8/8/8/3b4/K6k/5r2 w - - 26 91,a2b2,-830,0.5
8/8/8/8/8/3b4/1K5k/5r2 b - - 27 92,d3b1,-830,0.5
8/8/8/8/8/8/1K5k/1b3r2 w - - 28 92,b2a1,-830,0.5
8/8/8/8/8/8/7k/Kb3r2 b - - 29 93,b1d3,-830,0.5
8/8/8/8/8/3b4/7k/K4r2 w - - 30 93,a1a2,-830,0.5
8/8/8/8/8/3b4/K6k/5r2 b - - 31 94,d3b1,-830,0.5
8/8/8/8/8/8/K6k/1b3r2 w - - 32 94,a2a1,-830,0.5
8/8/8/8/8/8/7k/Kb3r2 b - - 33 95,b1d3,-830,0.5
8/8/8/8/8/3b4/7k/K4r2 w - - 34 95,a1a2,-830,0.5
8/8/8/8/8/3b4/K6k/5r2 b - - 35 96,d3b1,-830,0.5
8/8/8/8/8/8/K6k/1b3r2 w - - 36 96,a2a1,25,0.5
rnbqkbnr/ppp3pp/3pp3/5p2/3P1P2/P7/1PP1P1PP/RNBQKBNR w KQkq - 0 1,b1d2,0,1
rnbqkbnr/ppp3pp/3pp3/5p2/3P1P2/P7/1PPNP1PP/R1BQKBNR b KQkq - 1 2,d8f6,0,1
rnb1kbnr/ppp3pp/3ppq2/5p2/3P1P2/P7/1PPNP1PP/R1BQKBNR w KQkq - 2 2,g2g3,0,1
rnb1kbnr/ppp3pp/3ppq2/5p2/3P1P2/P5P1/1PPNP2P/R1BQKBNR b KQkq - 0 3,f6g5,0,1
rnb1kbnr/ppp3pp/3pp3/5pq1/3P1P2/P5P1/1PPNP2P/R1BQKBNR w KQkq - 1 3,e1f2,800,1
rnb1kbnr/ppp3pp/3pp3/5pq1/3P1P2/P5P1/1PPNPK1P/R1BQ1BNR b kq - 2 4,h7h5,0,1
rnb1kbnr/ppp3p1/3pp3/5pqp/3P1P2/P5P1/1PPNPK1P/R1BQ1BNR w kq h6 0 4,f2f3,800,1
rnb1kbnr/ppp3p1/3pp3/5pqp/3P1P2/P4KP1/1PPNP2P/R1BQ1BNR b kq - 1 5,e8d8,0,1
rnbk1bnr/ppp3p1/3pp3/5pqp/3P1P2/P4KP1/1PPNP2P/R1BQ1BNR w - - 2 5,f4g5,800,1
rnbk1bnr/ppp3p1/3pp3/5pPp/3P4/P4KP1/1PPNP2P/R1BQ1BNR b - - 0 6,b8c6,900,1
r1bk1bnr/ppp3p1/2npp3/5pPp/3P4/P4KP1/1PPNP2P/R1BQ1BNR w - - 1 6,d2b1,800,1
r1bk1bnr/ppp3p1/2npp3/5pPp/3P4/P4KP1/1PP1P2P/RNBQ1BNR b - - 2 7,e6e5,900,1
r1bk1bnr/ppp3p1/2np4/4ppPp/3P4/P4KP1/1PP1P2P/RNBQ1BNR w - - 0 7,d4e5,900,1
r1bk1bnr/ppp3p1/2np4/4PpPp/8/P4KP1/1PP1P2P/RNBQ1BNR b - - 0 8,c6e5,1000,1
r1bk1bnr/ppp3p1/3p4/4npPp/8/P4KP1/1PP1P2P/RNBQ1BNR w - - 0 8,f3g2,800,1
r1bk1bnr/ppp3p1/3p4/4npPp/8/P5P1/1PP1P1KP/RNBQ1BNR b - - 1 9,c7c6,1000,1
r1bk1bnr/pp4p1/2pp4/4npPp/8/P5P1/1PP1P1KP/RNBQ1BNR w - - 0 9,b2b3,800,1
r1bk1bnr/pp4p1/2pp4/4npPp/8/PP4P1/2P1P1KP/RNBQ1BNR b - - 0 10,f8e7,1000,1
r1bk2nr/pp2b1p1/2pp4/4npPp/8/PP4P1/2P1P1KP/RNBQ1BNR w - - 1 10,c1b2,890,1
r1bk2nr/pp2b1p1/2pp4/4npPp/8/PP4P1/1BP1P1KP/RN1Q1BNR b - - 2 11,d8e8,1000,1
r1b1k1nr/pp2b1p1/2pp4/4npPp/8/PP4P1/1BP1P1KP/RN1Q1BNR w - - 3 11,b3b4,890,1
r1b1k1nr/pp2b1p1/2pp4/4npPp/1P6/P5P1/1BP1P1KP/RN1Q1BNR b - - 0 12,e8f8,1000,1
r1b2knr/pp2b1p1/2pp4/4npPp/1P6/P5P1/1BP1P1KP/RN1Q1BNR w - - 1 12,c2c3,800,1
r1b2knr/pp2b1p1/2pp4/4npPp/1P6/P1P3P1/1B2P1KP/RN1Q1BNR b - - 0 13,e5d7,1000,1
r1b2knr/pp1nb1p1/2pp4/5pPp/1P6/P1P3P1/1B2P1KP/RN1Q1BNR w - - 1 13,g5g6,800,1
r1b2knr/pp1nb1p1/2pp2P1/5p1p/1P6/P1P3P1/1B2P1KP/RN1Q1BNR b - - 0 14,h8h6,900,1
r1b2kn1/pp1nb1p1/2pp2Pr/5p1p/1P6/P1P3P1/1B2P1KP/RN1Q1BNR w - - 1 14,e2e3,800,1
r1b2kn1/pp1nb1p1/2pp2Pr/5p1p/1P6/P1P1P1P1/1B4KP/RN1Q1BNR b - - 0 15,d6d5,900,1
r1b2kn1/pp1nb1p1/2p3Pr/3p1p1p/1P6/P1P1P1P1/1B4KP/RN1Q1BNR w - - 0 15,h2h3,800,1
r1b2kn1/pp1nb1p1/2p3Pr/3p1p1p/1P6/P1P1P1PP/1B4K1/RN1Q1BNR b - - 0 16,a7a6,900,1
r1b2kn1/1p1nb1p1/p1p3Pr/3p1p1p/1P6/P1P1P1PP/1B4K1/RN1Q1BNR w - - 0 16,a3a4,800,1
r1b2kn1/1p1nb1p1/p1p3Pr/3p1p1p/PP6/2P1P1PP/1B4K1/RN1Q1BNR b - - 0 17,b7b6,900,1
r1b2kn1/3nb1p1/ppp3Pr/3p1p1p/PP6/2P1P1PP/1B4K1/RN1Q1BNR w - - 0 17,c3c4,800,1
r1b2kn1/3nb1p1/ppp3Pr/3p1p1p/PPP5/4P1PP/1B4K1/RN1Q1BNR b - - 0 18,e7b4,900,1
r1b2kn1/3n2p1/ppp3Pr/3p1p1p/PbP5/4P1PP/1B4K1/RN1Q1BNR w - - 0 18,c4d5,800,1
r1b2kn1/3n2p1/ppp3Pr/3P1p1p/Pb6/4P1PP/1B4K1/RN1Q1BNR b - - 0 19,h6g6,1000,1
r1b2kn1/3n2p1/ppp3r1/3P1p1p/Pb6/4P1PP/1B4K1/RN1Q1BNR w - - 0 19,d5c6,900,1
r1b2kn1/3n2p1/ppP3r1/5p1p/Pb6/4P1PP/1B4K1/RN1Q1BNR b - - 0 20,g6c6,1120,1
r1b2kn1/3n2p1/ppr5/5p1p/Pb6/4P1PP/1B4K1/RN1Q1BNR w - - 0 20,f1e2,800,1
r1b2kn1/3n2p1/ppr5/5p1p/Pb6/4P1PP/1B2B1K1/RN1Q2NR b - - 1 21,c6d6,1070,1
r1b2kn1/3n2p1/pp1r4/5p1p/Pb6/4P1PP/1B2B1K1/RN1Q2NR w - - 2 21,d1c1,700,1
r1b2kn1/3n2p1/pp1r4/5p1p/Pb6/4P1PP/1B2B1K1/RNQ3NR b - - 3 22,c8b7,810,1
r4kn1/1b1n2p1/pp1r4/5p1p/Pb6/4P1PP/1B2B1K1/